Timestamp,RangeMilliMeter
14477000,29
14489000,27
14500000,27
14511000,31
14521000,31
14532000,18
14544000,35
14555000,35
14566000,17
14578000,20
14588000,20
14599000,32
14609000,32
14619000,38
14631000,48
14642000,48
14653000,46
14665000,46
14676000,32
14688000,58
14700000,58
14710000,89
14721000,76
14732000,76
14744000,72
14754000,72
14765000,97
14777000,101
14788000,101
14799000,125
14811000,125
14822000,118
14833000,125
14844000,125
14855000,135
14866000,135
14877000,141
14887000,158
14898000,158
14908000,151
14919000,151
14929000,174
14940000,164
14951000,164
14962000,172
14973000,172
14984000,154
14995000,148
15006000,148
15017000,158
15028000,158
15038000,152
15049000,152
15059000,152
15070000,145
15081000,145
15092000,150
15104000,136
15115000,136
15127000,139
15138000,139
15149000,120
15159000,133
15170000,133
15182000,117
15194000,117
15206000,118
15217000,106
15228000,106
15239000,88
15250000,84
15261000,84
15272000,90
15282000,90
15294000,69
15305000,72
15316000,72
15327000,73
15338000,73
15348000,52
15359000,57
15369000,57
15380000,64
15390000,64
15400000,36
15410000,36
15422000,33
15432000,58
15444000,58
15456000,46
15468000,49
15479000,49
15491000,36
15502000,46
15513000,46
15525000,36
15535000,36
15546000,36
15557000,40
15568000,40
15581000,50
15593000,35
15604000,35
15615000,39
15627000,39
15639000,46
15650000,43
15661000,43
15672000,33
15684000,20
15695000,20
15707000,33
15719000,35
15731000,35
15742000,38
15752000,38
15763000,50
15774000,53
15786000,53
15797000,32
15809000,48
15820000,48
15832000,54
15844000,54
15856000,42
15867000,51
15877000,51
15887000,54
15899000,39
15911000,39
15922000,34
15932000,34
15943000,44
15955000,44
15966000,44
15978000,26
15990000,33
16001000,33
16012000,48
16023000,48
16034000,25
16045000,24
16055000,24
16066000,39
16076000,39
16087000,38
16098000,34
16110000,34
16121000,33
16132000,33
16143000,37
16153000,54
16164000,54
16174000,36
16185000,36
16196000,53
16208000,46
16218000,46
16230000,34
16241000,34
16251000,41
16262000,46
16272000,46
16284000,41
16295000,41
16306000,37
16317000,43
16328000,43
16339000,36
